November 2024,,,,,,
Name,Symbol,Open,Close,Change,Percent,SNR
S&P/TSX Composite,^GSPTSE,24225.3,25648,1422.7,5.9%,64%
Dow Jones Industrial Average,^DJI,41869.82,44910.65,3040.83,7.3%,41%
S&P 500,^SPX,5723.22,6032.38,309.16,5.4%,34%
Russell 2000,^RUT,2202.18,2434.73,232.55,10.6%,33%
S&P/ASX 200,^AXJO,8160,8436.2,276.2,3.4%,30%
S&P/ASX 200,^AXJO,8160,8436.2,276.2,3.4%,30%
NASDAQ Composite,^IXIC,18189.67,19218.17,1028.5,5.7%,27%
US Dollar,DX-Y.NYB,103.86,105.74,1.88,1.8%,19%
DAX,^GDAXI,19093.99,19626.45,532.46,2.8%,16%
SSE Composite,000001.SS,3275.58,3326.46,50.88,1.6%,8%
NIFTY 50,^NSEI,24302.75,24131.1,-171.65,-0.7%,-4%
Crude Oil,CL=F,70.44,68,-2.44,-3.5%,-5%
10 Year Treasury Note Yield,^TNX,4.31,4.18,-0.13,-3.0%,-9%
Nikkei 225,^N225,38504.35,38208.03,-296.32,-0.8%,-12%
CAC 40,^FCHI,7364.08,7235.11,-128.97,-1.8%,-13%
Gold,GC=F,2745.5,2657,-88.5,-3.2%,-17%
Hang Seng,^HSI,20427.88,19423.61,-1004.27,-4.9%,-21%
CBOE Volatility,^VIX,22.96,13.51,-9.45,-41.2%,-35%
